  299 figuras reais para a AUC de contagem
  referencia unet_stageA.pt: plato_nmp=0.278  plato_val=0.878  IoU=0.7618  AUC_real=— (sem cabeca)
  barra de AUC de contagem: 0.6838  (absoluta)

  epoca_00.pt  plato_nmp=0.783  plato_val=0.826  IoU=0.7158  AUC=0.5694  <-- REGREDIU: IoU, plato_val, AUC
  epoca_01.pt  plato_nmp=0.857  plato_val=0.821  IoU=0.7447  AUC=0.6602  <-- REGREDIU: plato_val, AUC
  epoca_02.pt  plato_nmp=0.893  plato_val=0.868  IoU=0.7443  AUC=0.6279  <-- REGREDIU: AUC
  epoca_03.pt  plato_nmp=0.869  plato_val=0.868  IoU=0.7462  AUC=0.6067  <-- REGREDIU: AUC
  epoca_04.pt  plato_nmp=0.941  plato_val=0.899  IoU=0.7258  AUC=0.5949  <-- REGREDIU: IoU, AUC
  epoca_05.pt  plato_nmp=0.870  plato_val=0.879  IoU=0.7562  AUC=0.5875  <-- REGREDIU: AUC
  epoca_06.pt  plato_nmp=0.919  plato_val=0.881  IoU=0.7491  AUC=0.6145  <-- REGREDIU: AUC
  epoca_07.pt  plato_nmp=0.885  plato_val=0.871  IoU=0.7591  AUC=0.6344  <-- REGREDIU: AUC
  epoca_08.pt  plato_nmp=0.912  plato_val=0.879  IoU=0.7553  AUC=0.6522  <-- REGREDIU: AUC
  epoca_09.pt  plato_nmp=0.909  plato_val=0.877  IoU=0.7542  AUC=0.6422  <-- REGREDIU: AUC
  epoca_10.pt  plato_nmp=0.906  plato_val=0.879  IoU=0.7636  AUC=0.6072  <-- REGREDIU: AUC
  epoca_11.pt  plato_nmp=0.875  plato_val=0.837  IoU=0.7712  AUC=0.6085  <-- REGREDIU: plato_val, AUC
  epoca_12.pt  plato_nmp=0.882  plato_val=0.860  IoU=0.7628  AUC=0.6063  <-- REGREDIU: AUC
  epoca_13.pt  plato_nmp=0.880  plato_val=0.862  IoU=0.7739  AUC=0.6350  <-- REGREDIU: AUC
  epoca_14.pt  plato_nmp=0.887  plato_val=0.882  IoU=0.7650  AUC=0.6262  <-- REGREDIU: AUC
  epoca_15.pt  plato_nmp=0.887  plato_val=0.879  IoU=0.7647  AUC=0.6330  <-- REGREDIU: AUC
  epoca_16.pt  plato_nmp=0.909  plato_val=0.887  IoU=0.7662  AUC=0.6295  <-- REGREDIU: AUC
  epoca_17.pt  plato_nmp=0.887  plato_val=0.879  IoU=0.7652  AUC=0.6281  <-- REGREDIU: AUC

  NENHUM checkpoint passa as guardas. NAO PROMOVER — o treino
  trocou um ganho por outro em vez de somar.
