  carregado 300
  carregado 600
  carregado 900
n=895

dilX dilY corta folga |  x<=3px  x<=8px |  y<=3px  y<=8px | nb=nt x nb=nt y
   2    0     0     0 | 82.57% 85.92% | 79.78% 80.11% | 17.09% 18.55%
   2    0     0     6 | 80.56% 82.12% | 77.88% 78.21% | 17.09% 18.32%
   2    0     0    12 | 81.01% 81.90% | 71.28% 71.62% | 17.09% 17.09%
   2    0     3     0 | 85.92% 92.07% | 91.62% 91.96% | 32.74% 29.83%
   2    0     3     6 | 90.61% 92.18% | 90.61% 90.95% | 32.96% 29.61%
   2    0     3    12 | 91.84% 92.07% | 85.92% 86.26% | 32.96% 27.71%
   2    0     4     0 | 85.47% 92.18% | 92.51% 92.85% | 37.32% 32.96%
   2    0     4     6 | 90.50% 92.29% | 92.29% 92.63% | 37.54% 32.96%
   2    0     4    12 | 91.96% 92.18% | 88.16% 88.49% | 37.54% 31.17%
   2    0     5     0 | 85.47% 92.29% | 92.63% 92.96% | 40.89% 35.53%
   2    0     5     6 | 90.50% 92.40% | 92.40% 92.74% | 41.23% 35.53%
   2    0     5    12 | 92.07% 92.29% | 89.50% 89.83% | 41.23% 34.08%
   2    0     6     0 | 85.14% 92.29% | 92.63% 92.96% | 42.12% 37.43%
   2    0     6     6 | 90.39% 92.40% | 92.40% 92.74% | 42.57% 37.43%
   2    0     6    12 | 92.07% 92.29% | 90.17% 90.50% | 42.57% 36.20%
   2    1     0     0 | 80.67% 85.03% | 73.41% 73.74% | 19.78% 18.99%
   2    1     0     6 | 82.91% 84.36% | 71.28% 71.62% | 19.89% 18.32%
   2    1     0    12 | 83.35% 84.25% | 65.36% 65.70% | 19.89% 16.98%
   2    1     3     0 | 88.38% 95.08% | 95.64% 95.75% | 36.76% 32.63%
   2    1     3     6 | 93.30% 94.75% | 94.64% 94.75% | 36.76% 32.18%
   2    1     3    12 | 94.53% 94.75% | 89.72% 89.83% | 36.87% 30.06%
   2    1     4     0 | 87.82% 95.20% | 96.54% 96.76% | 41.23% 35.98%
   2    1     4     6 | 93.18% 94.86% | 96.42% 96.54% | 41.23% 35.98%
   2    1     4    12 | 94.64% 94.86% | 92.07% 92.18% | 41.34% 33.74%
   2    1     5     0 | 87.82% 95.31% | 96.65% 96.87% | 45.81% 38.99%
   2    1     5     6 | 93.18% 94.97% | 96.54% 96.65% | 45.81% 38.99%
   2    1     5    12 | 94.75% 94.97% | 93.41% 93.52% | 45.92% 37.21%
   2    1     6     0 | 87.15% 95.31% | 96.65% 96.87% | 47.49% 41.23%
   2    1     6     6 | 93.07% 94.97% | 96.54% 96.65% | 47.49% 41.23%
   2    1     6    12 | 94.75% 94.97% | 94.08% 94.19% | 47.60% 39.89%
   2    2     0     0 | 81.68% 86.93% | 74.08% 74.30% | 23.02% 19.22%
   2    2     0     6 | 84.80% 86.59% | 71.84% 72.18% | 23.02% 18.55%
