n=895
dilX dilY corta  fx  fy |    x<=3    x<=8 |    y<=3    y<=8 | nb=nt x nb=nt y
   2    1     4   8   0 | 93.97% 94.97% | 96.54% 96.76% | 41.23% 35.98%
   2    1     4   8   2 | 93.97% 94.97% | 96.65% 96.76% | 41.23% 35.98%
   2    1     4   8   4 | 93.97% 94.97% | 96.65% 96.76% | 41.23% 35.98%
   2    1     4  12   0 | 94.64% 94.86% | 96.54% 96.76% | 41.34% 35.98%
   2    1     4  12   2 | 94.64% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     4  12   4 | 94.64% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     4  16   0 | 94.64% 94.86% | 96.54% 96.76% | 41.34% 35.98%
   2    1     4  16   2 | 94.64% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     4  16   4 | 94.64% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     4  20   0 | 94.75% 94.86% | 96.54% 96.76% | 41.34% 35.98%
   2    1     4  20   2 | 94.75% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     4  20   4 | 94.75% 94.86% | 96.65% 96.76% | 41.34% 35.98%
   2    1     5   8   0 | 94.08% 95.08% | 96.65% 96.87% | 45.81% 38.99%
   2    1     5   8   2 | 94.08% 95.08% | 96.76% 96.87% | 45.81% 38.99%
   2    1     5   8   4 | 94.08% 95.08% | 96.76% 96.87% | 45.81% 38.99%
   2    1     5  12   0 | 94.75% 94.97% | 96.65% 96.87% | 45.92% 38.99%
   2    1     5  12   2 | 94.75% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     5  12   4 | 94.75% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     5  16   0 | 94.75% 94.97% | 96.65% 96.87% | 45.92% 38.99%
   2    1     5  16   2 | 94.75% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     5  16   4 | 94.75% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     5  20   0 | 94.86% 94.97% | 96.65% 96.87% | 45.92% 38.99%
   2    1     5  20   2 | 94.86% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     5  20   4 | 94.86% 94.97% | 96.76% 96.87% | 45.92% 38.99%
   2    1     6   8   0 | 94.08% 95.08% | 96.65% 96.87% | 47.49% 41.23%
   2    1     6   8   2 | 94.08% 95.08% | 96.76% 96.87% | 47.49% 41.23%
   2    1     6   8   4 | 94.08% 95.08% | 96.76% 96.87% | 47.49% 41.23%
   2    1     6  12   0 | 94.75% 94.97% | 96.65% 96.87% | 47.60% 41.23%
   2    1     6  12   2 | 94.75% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     6  12   4 | 94.75% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     6  16   0 | 94.75% 94.97% | 96.65% 96.87% | 47.60% 41.23%
   2    1     6  16   2 | 94.75% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     6  16   4 | 94.75% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     6  20   0 | 94.86% 94.97% | 96.65% 96.87% | 47.60% 41.23%
   2    1     6  20   2 | 94.86% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     6  20   4 | 94.86% 94.97% | 96.76% 96.87% | 47.60% 41.23%
   2    1     8   8   0 | 93.95% 95.07% | 96.54% 96.76% | 50.50% 40.67%
   2    1     8   8   2 | 93.95% 95.07% | 96.65% 96.76% | 50.50% 40.67%
   2    1     8   8   4 | 93.95% 95.07% | 96.65% 96.76% | 50.50% 40.67%
   2    1     8  12   0 | 94.74% 94.96% | 96.54% 96.76% | 50.61% 40.67%
   2    1     8  12   2 | 94.74% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    1     8  12   4 | 94.74% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    1     8  16   0 | 94.74% 94.96% | 96.54% 96.76% | 50.61% 40.67%
   2    1     8  16   2 | 94.74% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    1     8  16   4 | 94.74% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    1     8  20   0 | 94.85% 94.96% | 96.54% 96.76% | 50.61% 40.67%
   2    1     8  20   2 | 94.85% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    1     8  20   4 | 94.85% 94.96% | 96.65% 96.76% | 50.61% 40.67%
   2    2     4   8   0 | 95.98% 97.21% | 97.77% 97.88% | 43.46% 36.42%
   2    2     4   8   2 | 95.98% 97.21% | 97.88% 97.88% | 43.46% 36.42%
   2    2     4   8   4 | 95.98% 97.21% | 97.88% 97.88% | 43.46% 36.42%
   2    2     4  12   0 | 96.76% 96.98% | 97.77% 97.88% | 43.58% 36.42%
   2    2     4  12   2 | 96.76% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     4  12   4 | 96.76% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     4  16   0 | 96.76% 96.98% | 97.77% 97.88% | 43.58% 36.42%
   2    2     4  16   2 | 96.76% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     4  16   4 | 96.76% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     4  20   0 | 96.87% 96.98% | 97.77% 97.88% | 43.58% 36.42%
   2    2     4  20   2 | 96.87% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     4  20   4 | 96.87% 96.98% | 97.88% 97.88% | 43.58% 36.42%
   2    2     5   8   0 | 96.09% 97.32% | 97.88% 97.99% | 47.49% 39.66%
   2    2     5   8   2 | 96.09% 97.32% | 97.99% 97.99% | 47.49% 39.66%
   2    2     5   8   4 | 96.09% 97.32% | 97.99% 97.99% | 47.49% 39.66%
   2    2     5  12   0 | 96.87% 97.09% | 97.88% 97.99% | 47.60% 39.66%
   2    2     5  12   2 | 96.87% 97.09% | 97.99% 97.99% | 47.60% 39.66%
   2    2     5  12   4 | 96.87% 97.09% | 97.99% 97.99% | 47.60% 39.66%
